시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2016-09-25,0,5,0,0
2016-10-02,0,13,5,0
2016-10-09,0,11,12,0
2016-10-16,0,6,0,0
2016-10-23,0,17,0,0
2016-10-30,0,12,9,0
2016-11-06,0,0,6,0
2016-11-13,0,6,0,0
2016-11-20,6,6,0,0
2016-11-27,0,8,5,0
2016-12-04,5,5,0,0
2016-12-11,5,8,0,0
2016-12-18,8,11,30,0
2016-12-25,0,16,27,11
2017-01-01,5,10,26,0
2017-01-08,5,13,5,0
2017-01-15,0,15,0,0
2017-01-22,0,13,5,0
2017-01-29,0,14,5,0
2017-02-05,0,10,10,5
2017-02-12,0,0,0,0
2017-02-19,0,5,0,5
2017-02-26,5,5,5,0
2017-03-05,0,12,0,0
2017-03-12,5,10,0,5
2017-03-19,5,10,5,0
2017-03-26,0,10,5,0
2017-04-02,5,10,5,0
2017-04-09,5,10,14,0
2017-04-16,0,14,0,0
2017-04-23,0,19,14,0
2017-04-30,0,14,0,0
2017-05-07,0,9,0,0
2017-05-14,0,0,0,0
2017-05-21,0,16,5,0
2017-05-28,0,5,5,0
2017-06-04,0,0,0,0
2017-06-11,5,10,0,0
2017-06-18,10,10,5,0
2017-06-25,5,5,5,0
2017-07-02,0,0,5,0
2017-07-09,0,5,0,0
2017-07-16,0,5,0,0
2017-07-23,0,0,0,0
2017-07-30,0,10,0,0
2017-08-06,14,7,0,5
2017-08-13,0,7,0,0
2017-08-20,5,7,0,0
2017-08-27,0,5,0,0
2017-09-03,0,5,5,5
2017-09-10,0,0,0,0
