시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2016-09-25,1,9,3,0
2016-10-02,1,10,7,0
2016-10-09,2,12,7,0
2016-10-16,2,10,5,1
2016-10-23,2,9,5,1
2016-10-30,1,11,4,0
2016-11-06,1,10,3,1
2016-11-13,1,10,2,1
2016-11-20,3,9,2,0
2016-11-27,2,12,5,1
2016-12-04,2,11,8,1
2016-12-11,5,17,21,1
2016-12-18,7,19,35,2
2016-12-25,7,21,34,2
2017-01-01,5,21,22,2
2017-01-08,2,17,10,1
2017-01-15,2,14,6,1
2017-01-22,1,13,5,1
2017-01-29,2,14,4,1
2017-02-05,2,12,4,1
2017-02-12,2,11,2,1
2017-02-19,1,12,2,1
2017-02-26,1,13,2,0
2017-03-05,2,13,2,1
2017-03-12,2,14,2,1
2017-03-19,2,15,2,1
2017-03-26,1,14,3,1
2017-04-02,1,15,4,1
2017-04-09,1,16,3,0
2017-04-16,0,15,3,1
2017-04-23,1,15,2,1
2017-04-30,2,13,2,0
2017-05-07,1,11,1,1
2017-05-14,1,10,1,1
2017-05-21,1,12,1,1
2017-05-28,1,9,1,1
2017-06-04,2,9,1,1
2017-06-11,1,10,2,1
2017-06-18,1,9,2,1
2017-06-25,1,8,1,1
2017-07-02,1,8,0,0
2017-07-09,1,7,1,0
2017-07-16,1,8,1,1
2017-07-23,1,9,1,1
2017-07-30,1,8,1,0
2017-08-06,1,9,1,1
2017-08-13,1,8,1,1
2017-08-20,1,8,1,1
2017-08-27,1,12,2,1
2017-09-03,1,12,5,1
2017-09-10,1,12,5,1
