시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2016-09-25,2,8,4,0
2016-10-02,4,10,5,2
2016-10-09,2,12,5,0
2016-10-16,3,10,8,2
2016-10-23,3,9,4,0
2016-10-30,3,12,7,2
2016-11-06,2,12,5,0
2016-11-13,5,11,2,0
2016-11-20,3,12,7,0
2016-11-27,3,11,6,3
2016-12-04,2,17,16,3
2016-12-11,7,21,29,3
2016-12-18,3,17,36,2
2016-12-25,5,16,31,2
2017-01-01,5,17,16,2
2017-01-08,3,15,15,2
2017-01-15,6,11,3,3
2017-01-22,3,16,2,0
2017-01-29,1,12,3,1
2017-02-05,1,13,3,1
2017-02-12,4,11,2,2
2017-02-19,1,8,3,1
2017-02-26,1,7,2,1
2017-03-05,2,13,2,0
2017-03-12,1,12,3,1
2017-03-19,4,16,3,2
2017-03-26,2,14,1,2
2017-04-02,2,15,3,1
2017-04-09,1,20,1,1
2017-04-16,1,13,3,0
2017-04-23,4,14,4,1
2017-04-30,2,11,2,0
2017-05-07,1,14,3,1
2017-05-14,4,6,3,2
2017-05-21,3,9,0,2
2017-05-28,0,11,0,0
2017-06-04,4,7,2,0
2017-06-11,2,9,3,0
2017-06-18,2,10,2,2
2017-06-25,2,13,2,0
2017-07-02,0,9,0,3
2017-07-09,0,10,2,0
2017-07-16,2,6,2,0
2017-07-23,2,9,2,0
2017-07-30,2,8,0,0
2017-08-06,2,11,2,3
2017-08-13,0,9,2,2
2017-08-20,2,10,2,2
2017-08-27,2,12,2,2
2017-09-03,2,13,3,2
2017-09-10,3,9,5,3
